,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
12300,908c25bae9c40b41,123,103,5,56,2016-08-08 10:00:16,2016-08-08 10:58:38,3502.0,1188.0,240.0,2.0,,14411
12303,6b7c6225c22ef799,110,102,4,57,2016-08-08 10:00:16,2016-08-08 10:59:49,3573.0,3339.0,181.0,30.0,,23635
12335,1837fa4b6862a7ef,155,134,7,97,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,2971.0,31.0,30.0,,66631
12354,10d685c78f5228a9,121,118,4,93,2016-08-08 10:00:17,2016-08-08 10:59:47,3570.0,3480.0,30.0,30.0,,62145
12356,15afd1a62444e0e0,172,144,7,57,2016-08-08 10:00:19,2016-08-08 10:59:59,3580.0,2611.0,195.0,30.0,,22445
12558,dab65f0dc14f31af,163,129,3,50,2016-08-08 09:46:44,2016-08-08 10:59:51,4387.0,3436.0,31.0,30.0,,21281
12559,59cfde44998d1b32,119,119,34,74,2016-08-08 10:00:18,2016-08-08 10:59:48,3570.0,3570.0,60.0,30.0,,63720
12560,9a0fe2858cb7f3bb,102,102,43,77,2016-08-08 10:00:19,2016-08-08 10:59:48,3569.0,3569.0,300.0,30.0,,59323
12572,0a0378374f68f250,171,125,6,38,2016-08-08 10:00:19,2016-08-08 10:55:48,3329.0,1874.0,300.0,15.0,,14722
12583,a7e7c74c738582d2,140,129,2,78,2016-08-08 10:00:20,2016-08-08 10:59:48,3568.0,3268.0,30.0,30.0,,37002
12584,dd23abe16d558463,157,123,6,95,2016-08-08 10:00:20,2016-08-08 10:59:44,3564.0,2546.0,51.0,30.0,,25287
12608,ebad9a944f1eff9f,547,348,5,61,2016-08-08 09:59:53,2016-08-08 10:59:32,3579.0,2028.0,60.0,1.0,,23222
12617,a854b2773e706eeb,122,113,3,72,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,3329.0,30.0,30.0,,40213
12619,1c4c9719e4e60458,309,309,59,90,2016-08-08 10:00:18,2016-08-08 11:00:02,3584.0,3584.0,44.0,2.0,,82079
12647,70a2de2db653c6c0,120,102,1,55,2016-08-08 10:00:17,2016-08-08 10:59:46,3569.0,3032.0,32.0,30.0,,22689
